# InSAR Time Series Data
# Source CRS,EPSG:32643
# Projected X,492957.0562770563
# Projected Y,2973024.4155844157
# Latitude,26.878900238518245
# Longitude,74.92908926386717
# Raster Row,277
# Raster Col,421

Date,Displacement_m
20200107,0.108165555
20200119,0.1080866
20200131,0.11001378
20200212,0.109366454
20200224,0.10729826
20200307,0.11149128
20200319,0.10750217
20200331,0.10608759
20200412,0.10574087
20200424,0.10628207
20200518,0.10377361
20200530,0.10610413
20200611,0.09654802
20200623,0.10272439
20200705,0.10522052
20200717,0.10152166
20200729,0.094257705
20200810,0.10278782
20200822,0.10069481
20200903,0.09799584
20200915,0.09972917
20200927,0.0998084
20201009,0.10383624
20201021,0.10231534
20201102,0.10447157
20201114,0.09929308
20201126,0.09919113
20201208,0.09574353
20201220,0.09785795
20210101,0.098465815
20210113,0.09887754
20210125,0.093766704
20210206,0.09721341
20210218,0.0944733
20210302,0.09551871
20210314,0.09217237
20210326,0.09186714
20210407,0.09461553
20210419,0.092294306
20210501,0.09364362
20210513,0.09054225
20210525,0.08591804
20210606,0.08854346
20210618,0.08659774
20210630,0.09529203
20210712,0.09341192
20210724,0.08760333
20210805,0.08697785
20210817,0.09006352
20210829,0.08144084
20210910,0.08867268
20210922,0.0971559
20211004,0.08069217
20211016,0.0876351
20211028,0.08157265
20211109,0.0814615
20211121,0.08106943
20211203,0.08121936
20211215,0.0740415
20211227,0.07783557
20220108,0.080818504
20220120,0.07483992
20220201,0.078461364
20220213,0.076956816
20220225,0.0777841
20220309,0.07687616
20220321,0.072109446
20220402,0.07545151
20220426,0.07649216
20220508,0.07786861
20220520,0.07681013
20220601,0.06942535
20220613,0.066215344
20220625,0.06388182
20220707,0.059630565
20220719,0.06170552
20220731,0.06698094
20220812,0.056160323
20220905,0.05537685
20220917,0.059678607
20220929,0.0530544
20221011,0.053573877
20221023,0.058776457
20221104,0.06000547
20221116,0.049047798
20221128,0.055178016
20221210,0.056625072
20221222,0.052678715
20230103,0.044399954
20230127,0.053178713
20230208,0.052867543
20230220,0.038668357
20230328,0.05158056
20230409,0.041379698
20230421,0.038565055
20230503,0.043609135
20230515,0.039948404
20230527,0.034280702
20230608,0.037543893
20230620,0.03294836
20230702,0.030709594
20230714,0.0692613
20230726,0.039631173
20230807,0.037455723
20230819,0.032709792
20230831,0.03702288
20230912,0.041929044
20230924,0.027997546
20231006,0.023470402
20231018,0.029804505
20231030,0.032813706
20231111,0.035113774
20231123,0.027060173
20231205,0.023091927
20231217,0.028059997
20231229,0.028672181
20240110,0.025026634
20240122,0.02783876
20240203,0.025039919
20240215,0.023669757
20240310,0.02473285
20240322,0.024345972
20240403,0.018978849
20240427,0.024453752
20240509,0.022752814
20240521,0.018659025
20240602,0.020446442
20240614,0.013772972
20240626,0.016736247
20240708,0.015734464
20240720,0.015699849
20240801,0.013830498
20240813,0.012344845
20240825,0.00990542
20240906,0.006371163
20240918,0.013132483
20240930,0.007295288
20241105,0.020565502
20241117,0.011998162
20241129,0.008143783
20241211,0.004100956
20241223,0.005290039
20250104,0.008589126
20250116,0.0034013689
20250128,0.0022664517
20250209,0.0059671253
20250221,-0.0011413768
20250305,0.001138851
20250317,0.018555671
20250329,0.0019925088
20250410,0.0012034476
20250422,0.006388761
20250504,-0.014429107
20250516,-0.00014091283
20250528,0.0
20250609,-0.0033196807
20250621,-0.0033800825
20250703,-0.012656942
20250715,-0.014330193
20250727,-0.014363393
20250808,-0.022704564
20250820,-0.013788901
20250901,-0.020795263
20250913,-0.012954943
20250925,-0.009839155
20251007,-0.024948351
20251019,-0.0183435
20251031,-0.027664073
20251112,-0.025376402
20251124,-0.02409754
20251206,-0.020574726
20251218,-0.025741644
