# InSAR Time Series Data
# Source CRS,EPSG:32643
# Projected X,492464.632034632
# Projected Y,2968972.4675324676
# Latitude,26.84231357351739
# Longitude,74.92415577358167
# Raster Row,480
# Raster Col,397

Date,Displacement_m
20200107,0.08636001
20200119,0.08277252
20200131,0.08332106
20200212,0.081572
20200224,0.07937574
20200307,0.08228706
20200319,0.08047883
20200331,0.0809682
20200412,0.07986517
20200424,0.0747112
20200518,0.08365992
20200530,0.08225517
20200611,0.0727142
20200623,0.078606084
20200705,0.07824759
20200717,0.08005398
20200729,0.06826525
20200810,0.07951446
20200822,0.07109894
20200903,0.0673382
20200915,0.07516377
20200927,0.064379916
20201009,0.07741201
20201021,0.07945281
20201102,0.077067986
20201114,0.06816733
20201126,0.07262702
20201208,0.066756085
20201220,0.07112618
20210101,0.07014628
20210113,0.0706215
20210125,0.061894663
20210206,0.07055387
20210218,0.061605603
20210302,0.06575878
20210314,0.06448826
20210326,0.064678326
20210407,0.06837496
20210419,0.06401952
20210501,0.06851895
20210513,0.06688391
20210525,0.06113986
20210606,0.06214718
20210618,0.05880834
20210630,0.06467976
20210712,0.066763625
20210724,0.058765456
20210805,0.060004655
20210817,0.06378311
20210829,0.058107883
20210910,0.06318058
20210922,0.06682649
20211004,0.05190118
20211016,0.05724239
20211028,0.056235492
20211109,0.05502629
20211121,0.054091495
20211203,0.055856347
20211215,0.048206087
20211227,0.049760826
20220108,0.052218106
20220120,0.04958283
20220201,0.047932766
20220213,0.046743423
20220225,0.04865748
20220309,0.049345963
20220321,0.045572318
20220402,0.048594166
20220426,0.047440283
20220508,0.04764006
20220520,0.054071154
20220601,0.045826197
20220613,0.03773865
20220625,0.039501876
20220707,0.0337663
20220719,0.042706717
20220731,0.04342173
20220812,0.03590572
20220905,0.031545073
20220917,0.032101527
20220929,0.031235587
20221011,0.03416572
20221023,0.039811093
20221104,0.0445736
20221116,0.034580667
20221128,0.035620216
20221210,0.03394447
20221222,0.033364933
20230103,0.028099664
20230127,0.028689664
20230208,0.035045326
20230220,0.021655135
20230328,0.032675616
20230409,0.021511033
20230421,0.021192022
20230503,0.024935544
20230515,0.022279225
20230527,0.010977767
20230608,0.015906423
20230620,0.016772658
20230702,0.021891423
20230714,0.062478736
20230726,0.029826853
20230807,0.0262268
20230819,0.019709215
20230831,0.01923161
20230912,0.030972008
20230924,0.015062727
20231006,0.022714183
20231018,0.018125556
20231030,0.021225877
20231111,0.036686677
20231123,0.015388653
20231205,0.012230776
20231217,0.016700841
20231229,0.016126476
20240110,0.014003292
20240122,0.018064648
20240203,0.013020568
20240215,0.011437736
20240310,0.013955779
20240322,0.017007485
20240403,0.007880002
20240427,0.009443216
20240509,0.012593344
20240521,0.01119335
20240602,0.010528281
20240614,0.005696796
20240626,0.008415662
20240708,0.003962256
20240720,0.010173328
20240801,0.005959034
20240813,0.0035607219
20240825,0.0033860803
20240906,-0.00010724366
20240918,0.010991283
20240930,0.0033811182
20241105,0.02037856
20241117,0.0086119175
20241129,0.00706625
20241211,0.00047178566
20241223,0.0006736368
20250104,0.0050144047
20250116,-0.0007580444
20250128,-0.0015551299
20250209,0.0009906888
20250221,-0.0072758943
20250305,-0.00068078935
20250317,0.0141089335
20250329,-0.0035101175
20250410,-0.000111050904
20250422,0.0025966987
20250504,-0.014125578
20250516,-0.0009979978
20250528,0.0
20250609,-0.006496206
20250621,-0.0045186803
20250703,-0.012024708
20250715,-0.011586346
20250727,-0.015643343
20250808,-0.022555739
20250820,-0.00925979
20250901,-0.010049775
20250913,-0.008447245
20250925,-0.00576926
20251007,-0.017591834
20251019,-0.014345452
20251031,-0.01596678
20251112,-0.014021277
20251124,-0.015880153
20251206,-0.017114721
20251218,-0.01816263
