# InSAR Time Series Data
# Source CRS,EPSG:32643
# Projected X,499203.8095238095
# Projected Y,2971842.5974025973
# Latitude,26.868247452027582
# Longitude,74.99198443538914
# Raster Row,336
# Raster Col,734

Date,Displacement_m
20200107,-0.0009928625
20200119,0.00029702997
20200131,-0.0032283675
20200212,-0.007891096
20200224,0.0022794867
20200307,0.001144741
20200319,-0.0043640137
20200331,-0.008735395
20200412,0.00568111
20200424,-0.0020655869
20200518,-0.0051961276
20200530,0.006233635
20200611,-0.0004877692
20200623,-0.006967928
20200705,-0.009634662
20200717,0.0041843792
20200729,0.0018820651
20200810,-0.004199679
20200822,-0.008992975
20200903,0.0033147717
20200915,-0.007298458
20200927,-0.0053263237
20201009,-0.00799967
20201021,0.0019670427
20201102,-0.006061377
20201114,-0.004719439
20201126,-0.0063489946
20201208,-0.0028130817
20201220,-0.0024807886
20210101,-0.004654631
20210113,-0.007765994
20210125,-0.004090176
20210206,-0.0009069925
20210218,-0.0013823882
20210302,-0.009779425
20210314,-0.0022813194
20210326,0.00079664856
20210407,-0.0045390045
20210419,-0.010661349
20210501,-0.0012554977
20210513,-0.0012663853
20210525,-0.0037541247
20210606,-0.0069480957
20210618,-0.0076643964
20210630,-0.002303692
20210712,-0.004255388
20210724,-0.0071635977
20210805,-0.0066316724
20210817,-0.008042352
20210829,-0.007995575
20210910,0.0009621831
20210922,-0.006809587
20211004,-0.0110703735
20211016,-0.00047294545
20211028,0.001050465
20211109,-0.013608815
20211121,-0.012916239
20211203,-0.003799935
20211215,0.00086568214
20211227,-0.02141212
20220108,-0.0091439495
20220120,-0.0039244904
20220201,0.001574263
20220213,-0.023793455
20220225,-0.010651952
20220309,-0.007025893
20220321,0.0009669992
20220402,-0.02356644
20220426,-0.0063054636
20220508,0.0036753886
20220520,-0.004449906
20220601,-0.0071868007
20220613,-0.011275687
20220625,-0.015382946
20220707,-0.008568347
20220719,-0.007141993
20220731,-0.00988122
20220812,-0.010664463
20220905,-0.011869677
20220917,-0.010049372
20220929,-0.005471898
20221011,-0.0089699915
20221023,-0.0061767474
20221104,-0.0069918362
20221116,-0.0043607624
20221128,-0.0032500045
20221210,-0.00843057
20221222,-0.009433285
20230103,-0.004511134
20230127,-0.008468953
20230208,-0.0066319536
20230220,-0.004930242
20230328,-0.0049664
20230409,-0.009888499
20230421,-0.013501303
20230503,-0.017886207
20230515,-0.005062303
20230527,-0.012207519
20230608,-0.012854034
20230620,-0.012728561
20230702,-0.012792775
20230714,0.006772747
20230726,-0.011961502
20230807,-0.0033439002
20230819,-0.016702386
20230831,-0.011664161
20230912,-0.0077268765
20230924,-0.016909467
20231006,-0.006189473
20231018,-0.011501851
20231030,-0.009894839
20231111,-0.003070227
20231123,-0.0072116307
20231205,-0.01223568
20231217,-0.009288158
20231229,-0.0070204455
20240110,-0.0077513354
20240122,-0.010511517
20240203,-0.0066418336
20240215,-0.0071068895
20240310,-0.009741163
20240322,-0.00058975816
20240403,-0.0058734696
20240427,-0.012836594
20240509,-0.008603692
20240521,-0.0065103946
20240602,-0.0124468785
20240614,-0.010724651
20240626,-0.010087617
20240708,-0.0060755247
20240720,-0.005535086
20240801,-0.009547339
20240813,-0.006950387
20240825,-0.008966512
20240906,-0.0038116598
20240918,-0.001762815
20240930,-0.0045798635
20241105,0.00046551216
20241117,-0.0059315525
20241129,-0.010077147
20241211,0.0012329966
20241223,-0.0028495104
20250104,-0.0056719556
20250116,-0.009770364
20250128,0.0008067144
20250209,-0.0008121808
20250221,-0.0064235874
20250305,0.0026913222
20250317,0.010394495
20250329,-0.0012709617
20250410,-0.0019804658
20250422,0.0001701701
20250504,0.002331672
20250516,-0.00084036845
20250528,0.0
20250609,0.00013655936
20250621,-0.00231259
20250703,-0.0041450434
20250715,0.0028986994
20250727,-0.0006587391
20250808,-0.0057871775
20250820,-0.0005011397
20250901,0.0046762247
20250913,0.0053621847
20250925,-0.005870991
20251007,0.0033557066
20251019,0.0056690937
20251031,0.0077955956
20251112,-0.0044435607
20251124,0.004116673
20251206,0.0049840044
20251218,0.0032725423
