# InSAR Time Series Data
# Source CRS,EPSG:32643
# Projected X,493716.7965367965
# Projected Y,2971504.935064935
# Latitude,26.865184854305248
# Longitude,74.93674621546376
# Raster Row,353
# Raster Col,459

Date,Displacement_m
20200107,0.016256195
20200119,0.02289053
20200131,0.02453139
20200212,0.020515826
20200224,0.014202248
20200307,0.026015224
20200319,0.0214073
20200331,0.02245582
20200412,0.01520535
20200424,0.021032372
20200518,0.023414096
20200530,0.018032257
20200611,0.015564034
20200623,0.025285603
20200705,0.022182783
20200717,0.024683643
20200729,0.008887792
20200810,0.026553076
20200822,0.018708464
20200903,0.015044242
20200915,0.019856773
20200927,0.021703588
20201009,0.021650031
20201021,0.024983708
20201102,0.025078543
20201114,0.020387385
20201126,0.024131253
20201208,0.018850384
20201220,0.021165194
20210101,0.019826034
20210113,0.0224691
20210125,0.017267592
20210206,0.021558657
20210218,0.019612737
20210302,0.021201676
20210314,0.022647982
20210326,0.020218499
20210407,0.023733767
20210419,0.02182241
20210501,0.0290684
20210513,0.022468142
20210525,0.01683162
20210606,0.021863822
20210618,0.020193506
20210630,0.027201718
20210712,0.024496209
20210724,0.02039032
20210805,0.02449451
20210817,0.027721193
20210829,0.018486759
20210910,0.022949409
20210922,0.033277024
20211004,0.021063922
20211016,0.01734546
20211028,0.021850657
20211109,0.024168085
20211121,0.018595578
20211203,0.020792421
20211215,0.018614765
20211227,0.01734072
20220108,0.020483023
20220120,0.01674314
20220201,0.020880222
20220213,0.02067962
20220225,0.01815036
20220309,0.020143257
20220321,0.014768069
20220402,0.02100822
20220426,0.019898284
20220508,0.023327926
20220520,0.024649154
20220601,0.018192217
20220613,0.011541422
20220625,0.013401305
20220707,0.009228108
20220719,0.0128330095
20220731,0.017863283
20220812,0.010326179
20220905,0.008130095
20220917,0.015207489
20220929,0.006283909
20221011,0.010521054
20221023,0.01566503
20221104,0.01764939
20221116,0.010363204
20221128,0.013512725
20221210,0.015755337
20221222,0.013069587
20230103,0.0062449947
20230127,0.012953923
20230208,0.013861276
20230220,0.002569383
20230328,0.014677241
20230409,0.00407276
20230421,0.0028379671
20230503,0.005642156
20230515,0.0033249138
20230527,-0.0008930266
20230608,0.000220377
20230620,-0.0027051996
20230702,0.0025778105
20230714,0.038911894
20230726,0.012388213
20230807,0.004883997
20230819,0.0057952637
20230831,0.008325193
20230912,0.017694503
20230924,0.0005276799
20231006,0.0041052
20231018,0.0055235056
20231030,0.009010812
20231111,0.020472495
20231123,0.0031704344
20231205,0.0022083549
20231217,0.0064607067
20231229,0.008096281
20240110,0.0037390226
20240122,0.010727143
20240203,0.0049612634
20240215,0.005903718
20240310,0.009393126
20240322,0.008186735
20240403,0.0024315268
20240427,0.0028031552
20240509,0.0048008664
20240521,0.0035452638
20240602,0.0073736208
20240614,-0.00022487529
20240626,1.920946e-05
20240708,0.0010055695
20240720,0.0041460665
20240801,-6.008707e-05
20240813,0.0015348038
20240825,0.0022388138
20240906,-0.0075639114
20240918,0.0014067981
20240930,-0.0005525984
20241105,0.012430258
20241117,0.0061953897
20241129,0.0032366868
20241211,0.0038673477
20241223,0.0004594382
20250104,0.0064330045
20250116,0.00030963868
20250128,0.0021959515
20250209,0.0017833458
20250221,-0.0018605478
20250305,0.0014313199
20250317,0.010578355
20250329,-0.0010153614
20250410,0.004825535
20250422,0.002609768
20250504,-0.015416343
20250516,-0.0038356911
20250528,0.0
20250609,-0.003631765
20250621,-0.0020636953
20250703,-0.006914504
20250715,-0.008811889
20250727,-0.00929326
20250808,-0.017422967
20250820,-0.0034535844
20250901,-0.010058064
20250913,-0.0019813087
20250925,0.0024912087
20251007,-0.011062987
20251019,-0.0124864485
20251031,-0.012805084
20251112,-0.010499088
20251124,-0.008375121
20251206,-0.010366788
20251218,-0.012151189
