# InSAR Time Series Data
# Source CRS,EPSG:32643
# Projected X,498866.14718614717
# Projected Y,2972391.298701299
# Latitude,26.873201311136885
# Longitude,74.98858455761365
# Raster Row,309
# Raster Col,717

Date,Displacement_m
20200107,-3.0787447e-05
20200119,0.00043897948
20200131,-0.004156921
20200212,-0.0071789147
20200224,0.0020620602
20200307,0.001956606
20200319,-0.0013046656
20200331,-0.006139899
20200412,0.003001836
20200424,-0.0008476056
20200518,-0.004100241
20200530,0.00074475014
20200611,-0.0008786709
20200623,-0.0041363444
20200705,-0.0039373613
20200717,-0.0022748616
20200729,-0.0010807154
20200810,-0.0042055077
20200822,-0.0070373625
20200903,-0.0030149387
20200915,-0.0044548027
20200927,-0.004210343
20201009,-0.0067535383
20201021,-0.008526448
20201102,-0.0071839145
20201114,-0.0073320554
20201126,-0.0058282926
20201208,-0.009855724
20201220,-0.008101836
20210101,-0.006812279
20210113,-0.005405023
20210125,-0.011505425
20210206,-0.010487114
20210218,-0.002020435
20210302,-0.008844268
20210314,-0.012499728
20210326,-0.007888953
20210407,-0.004610975
20210419,-0.007535211
20210501,-0.0098580355
20210513,-0.008861692
20210525,-0.0040591736
20210606,-0.006698012
20210618,-0.008667676
20210630,-0.006290251
20210712,-0.005477883
20210724,-0.0048909197
20210805,-0.0040881056
20210817,-0.0042353882
20210829,-0.00803588
20210910,-0.0015604659
20210922,-0.006288803
20211004,-0.0051191375
20211016,-0.004074267
20211028,-0.004259811
20211109,-0.0063884677
20211121,-0.009040473
20211203,-0.0076254173
20211215,-0.0062462497
20211227,-0.0053153667
20220108,-0.00787271
20220120,-0.009283259
20220201,-0.00464618
20220213,-0.006486538
20220225,-0.0078790495
20220309,-0.007654985
20220321,-0.0043153036
20220402,-0.005639963
20220426,-0.007199547
20220508,-0.0040147672
20220520,-0.008695112
20220601,-0.011275935
20220613,-0.01157159
20220625,-0.014618947
20220707,-0.0135198
20220719,-0.014520159
20220731,-0.012483779
20220812,-0.014151592
20220905,-0.013097003
20220917,-0.010033814
20220929,-0.011830646
20221011,-0.011790175
20221023,-0.006458263
20221104,-0.010659458
20221116,-0.013611447
20221128,-0.008279983
20221210,-0.008240042
20221222,-0.011445384
20230103,-0.012580654
20230127,-0.010736191
20230208,-0.005618134
20230220,-0.013955812
20230328,-0.0048411964
20230409,-0.014576341
20230421,-0.013174538
20230503,-0.011124242
20230515,-0.008366758
20230527,-0.014610531
20230608,-0.0120420335
20230620,-0.010121957
20230702,-0.01144581
20230714,0.0025228949
20230726,-0.0043863216
20230807,-0.008810304
20230819,-0.009338353
20230831,-0.004029022
20230912,-0.0011372245
20230924,-0.011585653
20231006,-0.0069123004
20231018,-0.003339069
20231030,-0.0036166743
20231111,0.0031301402
20231123,-0.008766674
20231205,-0.0045735976
20231217,-0.004152526
20231229,-0.004504898
20240110,-0.007733299
20240122,-0.0011995472
20240203,-0.005087403
20240215,-0.0067102085
20240310,-0.001374079
20240322,-0.004534524
20240403,-0.0053557362
20240427,-0.004278926
20240509,-0.0029583313
20240521,-0.004605068
20240602,-0.006942691
20240614,-0.005083369
20240626,-0.0059158863
20240708,-0.0023764258
20240720,-0.0015682525
20240801,-0.0046643307
20240813,0.00047966433
20240825,-0.0012245866
20240906,0.0014845886
20240918,0.0039010972
20240930,-0.0012200015
20241105,0.0016823059
20241117,-0.0023879549
20241129,-0.00025421235
20241211,-0.0033658608
20241223,-0.00027270548
20250104,-0.0020033217
20250116,3.5377514e-05
20250128,-0.0032438196
20250209,-0.00089312263
20250221,-0.0035249637
20250305,0.0012024111
20250317,0.0047555924
20250329,0.00076141366
20250410,0.004207412
20250422,0.0007951182
20250504,0.000752825
20250516,-0.00018818479
20250528,0.0
20250609,0.002078946
20250621,0.00042695997
20250703,-0.0024574772
20250715,0.0016151081
20250727,-0.0023949428
20250808,-0.0040574637
20250820,-0.0015539491
20250901,0.0027705687
20250913,-7.807741e-05
20250925,0.0041079083
20251007,0.0016734663
20251019,-0.0013936444
20251031,-0.00080414576
20251112,0.0008353362
20251124,0.0027732966
20251206,0.0018732012
20251218,0.00020723326
